Type,acronym,Genus,Species,Notes
Lichen,CECU,Cetraria,Cetraria culculata ,
Lichen,CENI,Cetraria,Cetraria nivalis,
Lichen,CLCH,Cladonia,Cladonia clorophaeau,
Lichen,CLRA,Cladonia,Cladonia rangiferina,
Lichen,CLBO,Cladonia,Cladonia borealis,
Lichen,CLBE,Cladonia,Cladonia belliflora,
Lichen,CLDE,Cladonia,Cladonia deformis,
Lichen,CLGR,Cladonia,Cladonia gracilis,
Lichen,CLSQ,Cladonia,Cladonia squarosa,
Lichen,MUMU,Multivclavula,Multiclavula mucida,
Lichen,PENE,Pelitigera,Pelitigera neopolydacta,
Lichen,PEAP,Pelitigera,Peltigera apthosa,
Lichen,NERE,Nephroma,Nephroma resputinatum,Nitrogren fixer
Lichen,NEES,Nephroma,Nephroma espalidum,
seedless vascular,EQAR,Equisetum,Equisetum arvense,
seedless vascular,EQSC,Equisetum,Equisetum scripotes,
seedless vascular,EQSY,Equisetum,Equisetum sylvaticum,
Moss,POST,Polytrichum,Polytrichum strictum,
Moss,POJU,Polytrichum,Polytrichum junipernium,
Moss,POPI,Polytrichum,Polytrichum piliferum,
Moss,POCO,Polytrichum,Polytrichum commune,
Moss,AUPA,Aulacomnium,Aulacpomnium palustre,
Moss,AUTU,Aulacomnium,Aulacpomnium turgid,
Moss,DIPO,Dicranum,Dicranum polysetum,
Moss,DISC,Dicranum,Dicranum scoparium,
Moss,DIAC,Dicranum,Dicranium antifolium,
Moss,BRAR,Bryum,Bryum arcticum,
Moss,BRPS,Bryum,Bryum pseudotriguetum,
Moss,MAPO,Marchantia,Marchantia polymorpha,
Moss,MALA,Marchantia,Marchantia latifolia,
Moss,HYSP,Hylocomium,Hylocomium splendens,
Moss,CEPU,Ceratodon,Ceratodon purpureus,
Moss,RHRU,Rhtidiadelphus,Rhytidiadelphus rugosum,
Moss,SPAN,Sphagnum,Spahgnum angustifolium,
Moss,PTCR,Ptilium,Ptilium crista-castrensis,
Moss,TIAU,Timmia,Timmia austriacaca,
Moss,PLSC,Pleurozium,Pleurozoum scherberi,
Moss,LYCA,Lycopodium,Lycopodium annotinum,
evergreen shrub,VAOV,Vaccinium,Vaccinium ovalifolium,
evergreen shrub,VACA,Vaccinium,Vaccinium caespitosum,
evergreen shrub,VAVI,Vaccinium,Vaccinium viginosum,
evergreen shrub,VAAL,Vaccinium,Vaccinium alaskensis,
evergreen shrub,VAUL,Vaccinium,Vaccinium vulcanorum,
evergreen shrub,LEGR,Ledum,Ledum groenlandicum,
evergreen shrub,LEDE,Ledum,Ledum decumbens,
evergreen shrub,COCA,Cornus,Cornus canadensis,
evergreen shrub,CHCA,Chamaedaphne,Chamaedaphne calyculata,
evergreen shrub,OXOX,Oxycoccus,Oxycoccus microcarpos,
forb,PYSC,Pyrola,Pyrola secunda,
forb,CHAN,Chamerion,Chamerion angustifolium,
forb,DRRO,Drosera,Drosera rotundifolia,
forb,MEPA,Mertensia,Mertensia paniculata,
forb,LIPE,Linum ,Linum perenne,
forb,PEFR,Petasites,Petasites frigidus,
forb,PENI,Petasites,Petasites nivalis,
forb,ARAL,Arnica,Arnica alpuna,
forb,LUAR,Luzula,Luzula arcuata,
forb,ROAC,Rosa,Rosa acicularis,
graminoid,POAR,Poa,Poa arctea,
graminoid,POAA,Poa,Poa annua,
graminoid,POPR,Poa,Poa pratensis,
graminoid,POPA,Poa,Poa palustre,
graminoid,POCO,Poa,Poa compressa,
graminoid,ERVA,Eriophorum,Eriophorum vaginatum,
deciduous trees,BENE,Betula,Betula neoalaskana,
deciduous trees,POTR,Populus,Populus trembloides,
deciduous trees,ALCR,Alnus,Alnus crispa,
deciduous trees,ALVI,Alnus,Alnus viridis,
deciduous trees,SALIX,Salix,,
decid shrub,RUCH,Rubus,Rubus chamaemorus,
decid shrub,RUAR,Rubus,Rubus articus,
decid shrub,RUID,Rubus,Rubus ideaus,
decid shrub,SPBE,Spiraea,Spiraea beauverdiana,
conifers,PIME,Picea mariana,Picea mariana,
conifers,PIGL,Picea,Picea glauca,
